review_id,user_id,product_id,rating,review_text,created_at
1,54,62,2,Not satisfied with the durability.,2023-09-19 00:00:00
2,78,19,3,Not satisfied with the durability.,2023-04-17 00:00:00
3,52,17,3,Would recommend to friends.,2024-07-18 00:00:00
4,72,14,2,Packaging was secure and neat.,2023-04-23 00:00:00
5,16,35,2,Satisfied with the purchase.,2023-09-04 00:00:00
6,13,7,4,Arrived earlier than expected.,2023-03-25 00:00:00
7,54,32,2,Not satisfied with the durability.,2024-11-03 00:00:00
8,74,93,2,Satisfied with the purchase.,2023-04-17 00:00:00
9,64,66,4,Exceeded my expectations!,2023-09-22 00:00:00
10,64,3,4,Would recommend to friends.,2022-09-01 00:00:00
11,59,31,5,Not satisfied with the durability.,2023-01-07 00:00:00
12,7,7,4,Arrived earlier than expected.,2023-03-16 00:00:00
13,84,87,3,Would recommend to friends.,2023-09-25 00:00:00
14,2,109,4,Satisfied with the purchase.,2022-09-19 00:00:00
15,34,94,4,Not satisfied with the durability.,2023-06-10 00:00:00
16,6,52,5,Would recommend to friends.,2022-07-23 00:00:00
17,25,47,3,Product matches the description.,2023-12-19 00:00:00
18,50,65,5,Exceeded my expectations!,2023-09-05 00:00:00
19,80,88,1,Satisfied with the purchase.,2024-02-16 00:00:00
20,13,51,3,Would recommend to friends.,2023-06-18 00:00:00
21,47,97,2,Arrived earlier than expected.,2022-10-26 00:00:00
22,66,52,1,Great quality and fast shipping.,2023-10-26 00:00:00
23,5,18,3,Packaging was secure and neat.,2024-05-31 00:00:00
24,67,59,5,Would recommend to friends.,2022-10-31 00:00:00
25,18,42,3,Satisfied with the purchase.,2024-02-18 00:00:00
26,51,79,3,Arrived earlier than expected.,2024-06-27 00:00:00
27,44,65,5,Would recommend to friends.,2024-09-26 00:00:00
28,63,91,3,Packaging was secure and neat.,2023-12-29 00:00:00
29,3,48,1,Amazing customer support with this order.,2023-05-06 00:00:00
30,75,40,1,Arrived earlier than expected.,2024-08-24 00:00:00
31,61,34,5,Arrived earlier than expected.,2024-04-02 00:00:00
32,30,93,5,Packaging was secure and neat.,2022-07-23 00:00:00
33,22,68,5,Amazing customer support with this order.,2024-03-06 00:00:00
34,19,106,2,Great quality and fast shipping.,2024-04-28 00:00:00
35,74,90,2,Great quality and fast shipping.,2022-09-21 00:00:00
36,57,41,2,Amazing customer support with this order.,2023-08-03 00:00:00
37,89,27,5,Arrived earlier than expected.,2023-07-26 00:00:00
38,61,112,1,Satisfied with the purchase.,2024-10-16 00:00:00
39,67,27,3,Packaging was secure and neat.,2023-12-27 00:00:00
40,68,49,2,Packaging was secure and neat.,2023-04-18 00:00:00
41,69,44,3,Exceeded my expectations!,2023-12-12 00:00:00
42,79,62,2,Exceeded my expectations!,2022-12-14 00:00:00
43,72,39,3,Exceeded my expectations!,2023-01-17 00:00:00
44,91,27,4,Not satisfied with the durability.,2024-05-07 00:00:00
45,62,45,3,Exceeded my expectations!,2023-12-26 00:00:00
46,16,74,5,Amazing customer support with this order.,2024-04-23 00:00:00
47,51,105,2,Exceeded my expectations!,2023-05-20 00:00:00
48,6,37,1,Not satisfied with the durability.,2024-06-01 00:00:00
49,57,84,4,"Could be better, but decent value.",2023-02-18 00:00:00
50,26,106,3,Would recommend to friends.,2023-12-04 00:00:00
